source_dataset,scenario_id,simulation_id,timestamp,node_id,original_attack_name,attack_type,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,is_malicious,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service
VeReMi,LuST_urban_high,veremi_type1,25200.608,ve_veremi_type1_955,Normal,normal,5411.562,5657.672,21.562,7.31,0.0,1,1,0.0,5.8,2,-51.41,1.0,0.7569,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25206.608,ve_veremi_type1_955,Normal,normal,5539.833,5674.127,21.477,7.31,-0.014,61,2,0.9672,14.6,8,-55.99,0.913,0.7589,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25212.608,ve_veremi_type1_955,Normal,normal,5662.703,5689.89,20.074,7.31,-0.234,121,3,0.9752,5.2,6,-58.18,0.8513,0.7569,0.913,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25217.608,ve_veremi_type1_955,Normal,normal,5758.485,5702.178,17.046,7.31,-0.606,171,4,0.9766,4.6,8,-54.22,0.808,0.7544,0.8513,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25222.608,ve_veremi_type1_955,Normal,normal,5834.952,5705.811,13.172,4.26,-0.775,221,5,0.9774,2.4,7,-54.08,0.7776,0.7516,0.808,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25226.608,ve_veremi_type1_955,Normal,normal,5889.838,5714.772,15.443,7.26,0.568,261,6,0.977,1.2,7,-50.98,0.7564,0.7539,0.7776,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25231.608,ve_veremi_type1_955,Normal,normal,5966.144,5724.253,15.391,4.95,-0.01,311,7,0.9775,11.4,7,-47.67,0.7415,0.7578,0.7564,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25235.608,ve_veremi_type1_955,Normal,normal,6027.425,5729.558,15.331,4.95,-0.015,351,8,0.9772,2.9,7,-48.33,0.7311,0.7575,0.7415,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25239.608,ve_veremi_type1_955,Normal,normal,6075.456,5733.676,6.528,4.44,-2.201,391,9,0.977,8.8,8,-45.4,0.7239,0.7608,0.7311,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25242.608,ve_veremi_type1_955,Normal,normal,6084.809,5734.4,0.968,4.43,-1.853,421,10,0.9762,12.6,7,-55.13,0.7188,0.7621,0.7239,0,0,0,0,0
