source_dataset,scenario_id,simulation_id,timestamp,node_id,original_attack_name,attack_type,is_malicious,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service
VeReMi,LuST_urban_high,veremi_type1,25200.608,ve_veremi_type1_955,Normal,normal,0,5411.562,5657.672,21.562,7.31,0.0,1,1,0.0,5.8,2,-51.41,1.0,0.9192,1.0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25206.608,ve_veremi_type1_955,Normal,normal,0,5539.833,5674.127,21.477,7.31,-0.014,61,2,0.9672,14.6,8,-55.99,0.913,0.8386,1.0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25212.608,ve_veremi_type1_955,Normal,normal,0,5662.703,5689.89,20.074,7.31,-0.234,121,3,0.9752,5.2,6,-58.18,0.8513,0.7903,0.913,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25217.608,ve_veremi_type1_955,Normal,normal,0,5758.485,5702.178,17.046,7.31,-0.606,171,4,0.9766,4.6,8,-54.22,0.808,0.7632,0.8513,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25222.608,ve_veremi_type1_955,Normal,normal,0,5834.952,5705.811,13.172,4.26,-0.775,221,5,0.9774,2.4,7,-54.08,0.7776,0.7532,0.808,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25226.608,ve_veremi_type1_955,Normal,normal,0,5889.838,5714.772,15.443,7.26,0.568,261,6,0.977,1.2,7,-50.98,0.7564,0.7497,0.7776,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25231.608,ve_veremi_type1_955,Normal,normal,0,5966.144,5724.253,15.391,4.95,-0.01,311,7,0.9775,11.4,7,-47.67,0.7415,0.7546,0.7564,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25235.608,ve_veremi_type1_955,Normal,normal,0,6027.425,5729.558,15.331,4.95,-0.015,351,8,0.9772,2.9,7,-48.33,0.7311,0.7506,0.7415,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25239.608,ve_veremi_type1_955,Normal,normal,0,6075.456,5733.676,6.528,4.44,-2.201,391,9,0.977,8.8,8,-45.4,0.7239,0.74,0.7311,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25242.608,ve_veremi_type1_955,Normal,normal,0,6084.809,5734.4,0.968,4.43,-1.853,421,10,0.9762,12.6,7,-55.13,0.7188,0.7324,0.7239,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25246.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,-0.242,461,11,0.9761,11.4,6,-53.3,0.7153,0.7244,0.7188,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25250.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,501,12,0.976,1.4,7,-43.84,0.7129,0.7245,0.7153,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25254.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,541,13,0.976,9.6,7,-38.95,0.7112,0.7263,0.7129,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25257.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,571,14,0.9755,12.0,7,-43.49,0.71,0.726,0.7112,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25261.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,611,15,0.9755,7.2,7,-42.88,0.7092,0.7196,0.71,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25265.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,651,16,0.9754,14.4,8,-45.03,0.7087,0.7185,0.7092,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25268.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,681,17,0.975,1.6,7,-49.43,0.7083,0.7205,0.7087,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25272.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,721,18,0.975,3.6,7,-43.3,0.7081,0.7255,0.7083,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25275.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,751,19,0.9747,10.6,6,-44.94,0.7079,0.7342,0.7081,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25279.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,791,20,0.9747,8.4,8,-43.8,0.7078,0.736,0.7079,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25283.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,831,21,0.9747,5.0,7,-30.0,0.701,0.7514,0.7078,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.608,ve_veremi_type1_955,Normal,normal,0,6085.752,5734.473,0.0,0.0,0.0,871,22,0.9747,12.8,8,-51.06,0.703,0.793,0.701,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25290.608,ve_veremi_type1_955,Normal,normal,0,6086.322,5734.517,1.611,4.43,0.537,901,23,0.9745,8.4,7,-33.04,0.6976,0.8129,0.703,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25293.608,ve_veremi_type1_955,Normal,normal,0,6094.227,5747.798,8.696,92.87,2.362,931,24,0.9742,2.5,8,-30.0,0.6939,0.8163,0.6976,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25295.608,ve_veremi_type1_955,Normal,normal,0,6093.109,5770.108,13.318,92.87,2.311,951,25,0.9737,3.1,7,-56.76,0.6981,0.8104,0.6939,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25299.608,ve_veremi_type1_955,Normal,normal,0,6091.199,5808.231,4.11,92.87,-2.302,991,26,0.9738,13.4,7,-39.74,0.701,0.8034,0.6981,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25256.617,ve_veremi_type1_2125,Normal,normal,0,6170.491,5826.172,0.576,185.75,0.0,1,1,0.0,5.0,2,-44.11,1.0,0.7602,1.0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25257.617,ve_veremi_type1_2125,Normal,normal,0,6168.496,5825.971,3.131,185.75,2.555,11,2,0.8182,7.6,6,-52.31,0.9264,0.7563,1.0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25259.617,ve_veremi_type1_2125,Normal,normal,0,6158.832,5824.998,5.297,185.75,1.083,31,3,0.9032,3.3,5,-57.13,0.8672,0.7494,0.9264,0,0,0,0
