model,short,f1,f1_std,accuracy,fn,fp,latency_us,size_kb,fit_ms,size_vs_ada,latency_vs_ada,high_f1,is_ada
AdaBoost,ADA,95.57,0.63,95.45,0.3,45.1,3.89,28.2,208.9,1.0,1.0,True,True
Voting Ensemble,VOTE,95.53,0.61,95.41,0.7,45.1,11.59,2718.5,733.8,96.40070921985816,2.979434447300771,True,False
Stacking Ensemble,STACK,95.49,0.63,95.37,1.2,45.1,27.65,2184.7,3232.8,77.47163120567376,7.10796915167095,True,False
Random Forest,RF,95.48,0.62,95.36,1.2,45.1,5.87,2530.2,316.3,89.72340425531914,1.5089974293059125,True,False
CatBoost,CAT,95.44,0.65,95.33,1.5,45.2,0.61,125.2,223.6,4.439716312056738,0.15681233933161953,True,False
XGBoost,XGB,95.42,0.65,95.3,1.8,45.2,0.79,243.3,295.3,8.627659574468085,0.20308483290488433,True,False
Gradient Boosting,GB,95.32,0.67,95.2,3.3,44.7,1.21,190.0,1055.5,6.73758865248227,0.31105398457583544,False,False
LightGBM,LGBM,95.25,0.66,95.13,3.5,45.1,1.98,256.3,231.6,9.088652482269504,0.5089974293059126,False,False
Hist Gradient Boosting,HGB,95.2,0.68,95.08,3.5,45.6,6.4,281.2,409.3,9.97163120567376,1.6452442159383034,False,False
Decision Tree,DT,94.77,0.8,94.67,10.5,42.8,0.12,6.8,10.9,0.24113475177304963,0.030848329048843187,False,False
Extra Trees,ET,94.49,0.75,94.38,11.3,44.9,8.43,9519.7,145.2,337.5780141843972,2.1670951156812337,False,False
Linear Discriminant Analysis,LDA,93.97,0.75,93.84,13.1,48.5,12.77,1.3,11.9,0.04609929078014185,3.282776349614396,False,False
Gaussian Naive Bayes,GNB,93.39,0.62,93.19,6.3,61.8,0.23,1.0,1.0,0.03546099290780142,0.05912596401028278,False,False
SVM (RBF),SVM,92.85,0.68,92.76,26.1,46.4,29.86,121.3,471.6,4.301418439716312,7.676092544987146,False,False
Logistic Regression,LR,92.24,0.73,92.23,37.8,39.9,0.14,0.8,6.0,0.028368794326241138,0.03598971722365039,False,False
MLP Neural Network,MLP,91.33,0.83,91.29,39.5,47.7,3.51,328.9,7661.4,11.663120567375886,0.9023136246786632,False,False
K-Nearest Neighbors,KNN,89.63,0.74,89.61,50.4,53.5,51.62,564.9,1.9,20.03191489361702,13.269922879177377,False,False
