seed,subset,accuracy,weighted_f1,precision,recall,false_positive_count,false_negative_count,true_positive_count,true_negative_count,confusion_matrix,fit_seconds,predict_seconds,predict_microseconds_per_sample
0,Mobility Only (5 features),0.74,0.646571,0.635837,0.74,14,246,6,734,"[[734, 14], [246, 6]]",0.518532,0.010289,10.289416
0,Network Only (6 features),0.742,0.644285,0.631862,0.742,10,248,4,738,"[[738, 10], [248, 4]]",0.41295,0.012473,12.473
0,Trust Only (3 features),0.953,0.954106,0.958983,0.953,44,3,249,704,"[[704, 44], [3, 249]]",0.150243,0.00539,5.39025
0,Mobility + Network (11 features),0.746,0.642842,0.643871,0.746,4,250,2,744,"[[744, 4], [250, 2]]",0.71131,0.010687,10.686958
0,Mobility + Network + Trust (Proposed 14 features),0.953,0.954106,0.958983,0.953,44,3,249,704,"[[704, 44], [3, 249]]",0.295029,0.005553,5.553208
0,Post-Hoc Attack Counters (Leakage 4 features),0.667,0.64928,0.636333,0.667,134,199,53,614,"[[614, 134], [199, 53]]",0.151556,0.010248,10.248083
0,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.221712,0.004486,4.485709
1,Mobility Only (5 features),0.738,0.642186,0.615096,0.738,14,248,4,734,"[[734, 14], [248, 4]]",0.506211,0.01083,10.8305
1,Network Only (6 features),0.738,0.643853,0.622473,0.738,15,247,5,733,"[[733, 15], [247, 5]]",0.434436,0.011832,11.831708
1,Trust Only (3 features),0.95,0.95125,0.956799,0.95,47,3,249,701,"[[701, 47], [3, 249]]",0.122593,0.005113,5.11275
1,Mobility + Network (11 features),0.747,0.643348,0.66086,0.747,3,250,2,745,"[[745, 3], [250, 2]]",0.594804,0.010164,10.164042
1,Mobility + Network + Trust (Proposed 14 features),0.952,0.953291,0.95968,0.952,48,0,252,700,"[[700, 48], [0, 252]]",0.270351,0.005322,5.321583
1,Post-Hoc Attack Counters (Leakage 4 features),0.676,0.657777,0.645029,0.676,128,196,56,620,"[[620, 128], [196, 56]]",0.148648,0.01025,10.25025
1,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.22709,0.004967,4.966709
2,Mobility Only (5 features),0.742,0.64929,0.6492,0.742,13,245,7,735,"[[735, 13], [245, 7]]",0.515401,0.010932,10.932292
2,Network Only (6 features),0.74,0.643236,0.62248,0.74,12,248,4,736,"[[736, 12], [248, 4]]",0.396168,0.011178,11.177792
2,Trust Only (3 features),0.94,0.94167,0.948748,0.94,55,5,247,693,"[[693, 55], [5, 247]]",0.122975,0.005081,5.080792
2,Mobility + Network (11 features),0.746,0.641028,0.622498,0.746,3,251,1,745,"[[745, 3], [251, 1]]",0.577339,0.010259,10.258542
2,Mobility + Network + Trust (Proposed 14 features),0.942,0.943772,0.952283,0.942,57,1,251,691,"[[691, 57], [1, 251]]",0.270923,0.005484,5.484334
2,Post-Hoc Attack Counters (Leakage 4 features),0.708,0.688503,0.677504,0.708,107,185,67,641,"[[641, 107], [185, 67]]",0.147831,0.009902,9.902208
2,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.237763,0.004767,4.766833
3,Mobility Only (5 features),0.731,0.640117,0.604784,0.731,22,247,5,726,"[[726, 22], [247, 5]]",0.460466,0.010684,10.68425
3,Network Only (6 features),0.74,0.641527,0.613103,0.74,11,249,3,737,"[[737, 11], [249, 3]]",0.403041,0.01077,10.769875
3,Trust Only (3 features),0.949,0.950097,0.954269,0.949,44,7,245,704,"[[704, 44], [7, 245]]",0.119267,0.005025,5.025416
3,Mobility + Network (11 features),0.74,0.63623,0.557984,0.74,8,252,0,740,"[[740, 8], [252, 0]]",0.589063,0.010223,10.223292
3,Mobility + Network + Trust (Proposed 14 features),0.953,0.954152,0.959437,0.953,45,2,250,703,"[[703, 45], [2, 250]]",0.267484,0.005401,5.401042
3,Post-Hoc Attack Counters (Leakage 4 features),0.698,0.682231,0.671913,0.698,119,183,69,629,"[[629, 119], [183, 69]]",0.14422,0.009926,9.926125
3,Proposed + Leakage (18 features),0.998,0.997997,0.998005,0.998,0,2,250,748,"[[748, 0], [2, 250]]",0.229875,0.004964,4.96375
4,Mobility Only (5 features),0.741,0.645449,0.634166,0.741,12,247,5,736,"[[736, 12], [247, 5]]",0.46796,0.010581,10.58075
4,Network Only (6 features),0.739,0.650819,0.645192,0.739,18,243,9,730,"[[730, 18], [243, 9]]",0.394299,0.010578,10.5775
4,Trust Only (3 features),0.963,0.96372,0.96696,0.963,35,2,250,713,"[[713, 35], [2, 250]]",0.118069,0.005167,5.167208
4,Mobility + Network (11 features),0.742,0.639028,0.590238,0.742,7,251,1,741,"[[741, 7], [251, 1]]",0.58672,0.010252,10.251583
4,Mobility + Network + Trust (Proposed 14 features),0.963,0.96372,0.96696,0.963,35,2,250,713,"[[713, 35], [2, 250]]",0.343954,0.005362,5.362208
4,Post-Hoc Attack Counters (Leakage 4 features),0.671,0.663025,0.656347,0.671,148,181,71,600,"[[600, 148], [181, 71]]",0.145037,0.010271,10.27125
4,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.237505,0.004625,4.625208
5,Mobility Only (5 features),0.732,0.635697,0.582384,0.732,18,250,2,730,"[[730, 18], [250, 2]]",0.494972,0.010642,10.642167
5,Network Only (6 features),0.741,0.64711,0.640007,0.741,13,246,6,735,"[[735, 13], [246, 6]]",0.387165,0.010701,10.701375
5,Trust Only (3 features),0.955,0.956103,0.961353,0.955,44,1,251,704,"[[704, 44], [1, 251]]",0.11861,0.005162,5.16175
5,Mobility + Network (11 features),0.746,0.641028,0.622498,0.746,3,251,1,745,"[[745, 3], [251, 1]]",0.57365,0.010343,10.342625
5,Mobility + Network + Trust (Proposed 14 features),0.956,0.9571,0.962541,0.956,44,0,252,704,"[[704, 44], [0, 252]]",0.316001,0.005433,5.432875
5,Post-Hoc Attack Counters (Leakage 4 features),0.681,0.657939,0.643123,0.681,118,201,51,630,"[[630, 118], [201, 51]]",0.144963,0.010024,10.023875
5,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.223058,0.004559,4.559084
6,Mobility Only (5 features),0.739,0.63928,0.597306,0.739,11,250,2,737,"[[737, 11], [250, 2]]",0.523703,0.011904,11.90375
6,Network Only (6 features),0.744,0.652009,0.662563,0.744,12,244,8,736,"[[736, 12], [244, 8]]",0.452308,0.01107,11.069708
6,Trust Only (3 features),0.951,0.952201,0.957522,0.951,46,3,249,702,"[[702, 46], [3, 249]]",0.132205,0.005903,5.90325
6,Mobility + Network (11 features),0.747,0.641527,0.643687,0.747,2,251,1,746,"[[746, 2], [251, 1]]",0.583586,0.010337,10.337375
6,Mobility + Network + Trust (Proposed 14 features),0.953,0.954197,0.959906,0.953,46,1,251,702,"[[702, 46], [1, 251]]",0.265486,0.005344,5.344417
6,Post-Hoc Attack Counters (Leakage 4 features),0.693,0.674785,0.663097,0.693,118,189,63,630,"[[630, 118], [189, 63]]",0.145652,0.009982,9.982084
6,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.227977,0.004465,4.465416
7,Mobility Only (5 features),0.742,0.64598,0.63899,0.742,11,247,5,737,"[[737, 11], [247, 5]]",0.476236,0.010432,10.432083
7,Network Only (6 features),0.741,0.64711,0.640007,0.741,13,246,6,735,"[[735, 13], [246, 6]]",0.376763,0.010594,10.593875
7,Trust Only (3 features),0.949,0.9502,0.955147,0.949,46,5,247,702,"[[702, 46], [5, 247]]",0.117134,0.00507,5.070208
7,Mobility + Network (11 features),0.746,0.639184,0.559126,0.746,2,252,0,746,"[[746, 2], [252, 0]]",0.61229,0.024775,24.775167
7,Mobility + Network + Trust (Proposed 14 features),0.952,0.9532,0.958713,0.952,46,2,250,702,"[[702, 46], [2, 250]]",0.277917,0.005285,5.28475
7,Post-Hoc Attack Counters (Leakage 4 features),0.668,0.65628,0.647018,0.668,143,189,63,605,"[[605, 143], [189, 63]]",0.143355,0.009994,9.9945
7,Proposed + Leakage (18 features),0.998,0.997997,0.998005,0.998,0,2,250,748,"[[748, 0], [2, 250]]",0.235224,0.004716,4.7155
8,Mobility Only (5 features),0.729,0.639046,0.601174,0.729,24,247,5,724,"[[724, 24], [247, 5]]",0.473654,0.010433,10.432958
8,Network Only (6 features),0.736,0.639454,0.600334,0.736,15,249,3,733,"[[733, 15], [249, 3]]",0.398789,0.010524,10.5245
8,Trust Only (3 features),0.952,0.953153,0.95825,0.952,45,3,249,703,"[[703, 45], [3, 249]]",0.117966,0.004981,4.980625
8,Mobility + Network (11 features),0.743,0.639529,0.594928,0.743,6,251,1,742,"[[742, 6], [251, 1]]",0.579955,0.010296,10.295917
8,Mobility + Network + Trust (Proposed 14 features),0.952,0.9532,0.958713,0.952,46,2,250,702,"[[702, 46], [2, 250]]",0.271651,0.005383,5.383125
8,Post-Hoc Attack Counters (Leakage 4 features),0.677,0.658503,0.645668,0.677,127,196,56,621,"[[621, 127], [196, 56]]",0.144511,0.010038,10.037542
8,Proposed + Leakage (18 features),1.0,1.0,1.0,1.0,0,0,252,748,"[[748, 0], [0, 252]]",0.230634,0.004651,4.650584
