seed,model,accuracy,weighted_f1,precision,recall,false_positive_count,false_negative_count,true_positive_count,true_negative_count,confusion_matrix,fit_seconds,predict_seconds,predict_microseconds_per_sample,model_size_kb_pickle,rank
0,Random Forest,0.953,0.954106,0.958983,0.953,44,3,249,704,"[[704, 44], [3, 249]]",0.277919,0.005415,5.415042,2513.275391,3.0
0,Gradient Boosting,0.954,0.955059,0.959721,0.954,43,3,249,705,"[[705, 43], [3, 249]]",0.951133,0.000793,0.793334,199.732422,2.0
0,Extra Trees,0.947,0.94814,0.952345,0.947,45,8,244,703,"[[703, 45], [8, 244]]",0.119998,0.007509,7.508792,9279.337891,4.0
0,AdaBoost,0.956,0.9571,0.962541,0.956,44,0,252,704,"[[704, 44], [0, 252]]",0.180529,0.003009,3.009417,27.262695,1.0
0,Decision Tree,0.944,0.944816,0.946948,0.944,40,16,236,708,"[[708, 40], [16, 236]]",0.009483,8.5e-05,0.085416,8.208984,5.0
0,SVM (RBF),0.924,0.925108,0.927486,0.924,50,26,226,698,"[[698, 50], [26, 226]]",0.315163,0.024153,24.153125,119.912109,7.0
0,K-Nearest Neighbors,0.892,0.892687,0.893588,0.892,59,49,203,689,"[[689, 59], [49, 203]]",0.001057,0.0351,35.099916,564.831055,9.0
0,Logistic Regression,0.924,0.924389,0.924925,0.924,42,34,218,706,"[[706, 42], [34, 218]]",0.00406,0.0001,0.10025,0.761719,8.0
0,Gaussian Naive Bayes,0.928,0.930326,0.940169,0.928,66,6,246,682,"[[682, 66], [6, 246]]",0.00069,0.000145,0.14475,0.984375,6.0
1,Random Forest,0.952,0.953291,0.95968,0.952,48,0,252,700,"[[700, 48], [0, 252]]",0.276616,0.005635,5.635125,2527.65625,1.0
1,Gradient Boosting,0.951,0.952295,0.958478,0.951,48,1,251,700,"[[700, 48], [1, 251]]",0.928148,0.000769,0.76875,179.754883,3.0
1,Extra Trees,0.94,0.94126,0.945393,0.94,48,12,240,700,"[[700, 48], [12, 240]]",0.124058,0.010426,10.425834,9529.806641,5.0
1,AdaBoost,0.952,0.953291,0.95968,0.952,48,0,252,700,"[[700, 48], [0, 252]]",0.186986,0.002778,2.777917,27.262695,1.0
1,Decision Tree,0.946,0.947297,0.9525,0.946,48,6,246,700,"[[700, 48], [6, 246]]",0.009633,0.000105,0.104916,6.021484,4.0
1,SVM (RBF),0.927,0.928185,0.930977,0.927,50,23,229,698,"[[698, 50], [23, 229]]",0.311156,0.024638,24.637916,122.490234,8.0
1,K-Nearest Neighbors,0.894,0.894275,0.894585,0.894,55,51,201,693,"[[693, 55], [51, 201]]",0.001012,0.033465,33.46475,564.831055,9.0
1,Logistic Regression,0.931,0.93181,0.933433,0.931,44,25,227,704,"[[704, 44], [25, 227]]",0.003831,8e-05,0.079625,0.761719,7.0
1,Gaussian Naive Bayes,0.931,0.933078,0.941552,0.931,62,7,245,686,"[[686, 62], [7, 245]]",0.000617,0.00012,0.119792,0.984375,6.0
2,Random Forest,0.942,0.943772,0.952283,0.942,57,1,251,691,"[[691, 57], [1, 251]]",0.274982,0.005487,5.487042,2435.15332,2.0
2,Gradient Boosting,0.94,0.941725,0.94928,0.94,56,4,248,692,"[[692, 56], [4, 248]]",1.098592,0.000784,0.784333,191.286133,3.0
