packet,evidence,trust,state,alpha
0,,1.0,Trusted,0.3
1,0.1,0.37,Blocked,0.3
2,0.1,0.181,Blocked,0.3
3,0.1,0.1243,Blocked,0.3
4,0.1,0.1073,Blocked,0.3
5,0.1,0.1022,Blocked,0.3
6,0.1,0.1007,Blocked,0.3
7,0.1,0.1002,Blocked,0.3
8,0.1,0.1001,Blocked,0.3
9,0.95,0.695,Suspicious,0.3
10,0.95,0.8735,Trusted,0.3
11,0.95,0.927,Trusted,0.3
12,0.95,0.9431,Trusted,0.3
13,0.95,0.9479,Trusted,0.3
14,0.95,0.9494,Trusted,0.3
15,0.95,0.9498,Trusted,0.3
16,0.95,0.9499,Trusted,0.3
17,0.95,0.95,Trusted,0.3
18,0.95,0.95,Trusted,0.3
19,0.95,0.95,Trusted,0.3
20,0.95,0.95,Trusted,0.3
21,0.95,0.95,Trusted,0.3
22,0.95,0.95,Trusted,0.3
23,0.95,0.95,Trusted,0.3
24,0.95,0.95,Trusted,0.3
25,0.95,0.95,Trusted,0.3
26,0.95,0.95,Trusted,0.3
27,0.95,0.95,Trusted,0.3
28,0.95,0.95,Trusted,0.3
0,,1.0,Trusted,0.5
1,0.1,0.55,Suspicious,0.5
2,0.1,0.325,Blocked,0.5
3,0.1,0.2125,Blocked,0.5
4,0.1,0.1562,Blocked,0.5
5,0.1,0.1281,Blocked,0.5
6,0.1,0.114,Blocked,0.5
7,0.1,0.107,Blocked,0.5
8,0.1,0.1035,Blocked,0.5
9,0.95,0.5267,Suspicious,0.5
10,0.95,0.7383,Trusted,0.5
11,0.95,0.8441,Trusted,0.5
12,0.95,0.897,Trusted,0.5
13,0.95,0.9235,Trusted,0.5
14,0.95,0.9367,Trusted,0.5
15,0.95,0.9433,Trusted,0.5
16,0.95,0.9466,Trusted,0.5
17,0.95,0.9483,Trusted,0.5
18,0.95,0.9491,Trusted,0.5
19,0.95,0.9496,Trusted,0.5
20,0.95,0.9498,Trusted,0.5
21,0.95,0.9499,Trusted,0.5
22,0.95,0.9499,Trusted,0.5
23,0.95,0.9499,Trusted,0.5
24,0.95,0.9499,Trusted,0.5
25,0.95,0.9499,Trusted,0.5
26,0.95,0.9499,Trusted,0.5
27,0.95,0.9499,Trusted,0.5
28,0.95,0.9499,Trusted,0.5
0,,1.0,Trusted,0.7
1,0.1,0.73,Trusted,0.7
2,0.1,0.541,Suspicious,0.7
3,0.1,0.4087,Suspicious,0.7
4,0.1,0.3161,Blocked,0.7
5,0.1,0.2513,Blocked,0.7
6,0.1,0.2059,Blocked,0.7
7,0.1,0.1741,Blocked,0.7
8,0.1,0.1519,Blocked,0.7
9,0.95,0.3913,Blocked,0.7
10,0.95,0.5589,Suspicious,0.7
11,0.95,0.6762,Suspicious,0.7
12,0.95,0.7583,Trusted,0.7
13,0.95,0.8158,Trusted,0.7
14,0.95,0.8561,Trusted,0.7
15,0.95,0.8843,Trusted,0.7
16,0.95,0.904,Trusted,0.7
17,0.95,0.9178,Trusted,0.7
18,0.95,0.9275,Trusted,0.7
19,0.95,0.9343,Trusted,0.7
20,0.95,0.939,Trusted,0.7
21,0.95,0.9423,Trusted,0.7
22,0.95,0.9446,Trusted,0.7
23,0.95,0.9462,Trusted,0.7
24,0.95,0.9473,Trusted,0.7
25,0.95,0.9481,Trusted,0.7
26,0.95,0.9487,Trusted,0.7
27,0.95,0.9491,Trusted,0.7
28,0.95,0.9494,Trusted,0.7
0,,1.0,Trusted,0.9
1,0.1,0.91,Trusted,0.9
2,0.1,0.829,Trusted,0.9
3,0.1,0.7561,Trusted,0.9
4,0.1,0.6905,Suspicious,0.9
5,0.1,0.6315,Suspicious,0.9
6,0.1,0.5784,Suspicious,0.9
7,0.1,0.5306,Suspicious,0.9
8,0.1,0.4875,Suspicious,0.9
9,0.95,0.5337,Suspicious,0.9
10,0.95,0.5753,Suspicious,0.9
11,0.95,0.6128,Suspicious,0.9
12,0.95,0.6465,Suspicious,0.9
13,0.95,0.6768,Suspicious,0.9
14,0.95,0.7041,Trusted,0.9
15,0.95,0.7287,Trusted,0.9
16,0.95,0.7508,Trusted,0.9
17,0.95,0.7707,Trusted,0.9
18,0.95,0.7886,Trusted,0.9
19,0.95,0.8047,Trusted,0.9
20,0.95,0.8192,Trusted,0.9
21,0.95,0.8323,Trusted,0.9
22,0.95,0.8441,Trusted,0.9
23,0.95,0.8547,Trusted,0.9
24,0.95,0.8642,Trusted,0.9
25,0.95,0.8728,Trusted,0.9
26,0.95,0.8805,Trusted,0.9
27,0.95,0.8874,Trusted,0.9
28,0.95,0.8937,Trusted,0.9
